C17orf61
SMARCD2
GRK6
MSH6
SGCE
SRI
DHRS13
GMFG
ZBP1
CARHSP1
SDC1
ACSS1
C2orf28
GABARAP
LSP1
YWHAH
IGSF8
PIM2
ODC1
RBL2
ITM2B
TMC8
YIF1B
CD9
LAMP5
TXNDC5
GANAB
NXT1
PTPN7
PREB
PSME1
USF2
SIGMAR1
SF3B2
WNT5B
YDJC
FIBP
PPP1R14B
ARF5
MPI
NADKD1
NIPSNAP1
CKAP4
IARS2
DUT
DDX41
ACTR1B
PALM2-AKAP2
SCARB2
UBE2J1
DCAF12
ARMC6
CIAPIN1
DHX15
SEH1L
TUBA1B
DERL3
COPS6
DDOST
PPIA
BRD9
TMEM43
PIGT
LPCAT1
MAP4K1
COMMD6
FBXO18
SLC29A1
MCM2
CD151
TNFRSF13B
PSEN2
EBP
SLC5A6
MRPL11
RNF126
UQCRC1
DAK
IGFLR1
HSH2D
C9orf123
ENTPD6
LTBP3
RNF220
ATP6AP1
P2RX5
SUMF2
RABAC1
POLR2H
C16orf13
APOA1BP
PDHA1
C21orf2
EXOSC5
NDUFB11
ATP5A1
TMEM63A
CRIP1
DHCR7
LMO4
SNRPB
MRPL24
CYB5R3
MGAT4B
MAGED2
GEMIN4
CLPTM1L
WDR1
TIMM17B
CST3
NDUFAF3
COX5B
C22orf13
CD63
MRPL15
MOGS
SLC35B2
ITGB7
SYNGR2
PPT1
UBA1
TBCB
GUSB
GPAA1
ERP29
UNC93B1
IDH2
CUL4A
ATP8B2
LIME1
CHPF
LMAN2
C19orf10
MGAT1
UQCR11
AEN
CYBA
SPINK2
NDUFB6
DUS1L
STOML2
C1QBP
CHCHD2
SDF2L1
PYCR2
RPS7
FAM192A
BRIX1
CHTOP
SFPQ
MFNG
APH1A
POLR3K
TRAF7
CCDC137
GABPA
TSPAN31
KIAA0226
WDR13
GTPBP1
DUSP4
NUB1
CSRP1
SLC35C2
PIGG
SEC14L1
ATP1A1
RPA3
CDC16
FTSJD2
P2RX1
SDHA
PQBP1
DGCR2
GLUL
ENDOG
OPTN
LGMN
EHD4
NCF4
MPG
RAB11B
TRAPPC1
CHMP7
PRPF4
NUP88
MYBBP1A
TMEM18
RER1
LIG3
PHPT1
TMSB10
TMED3
PDIA6
GRSF1
RFX5
GPX4
LAMTOR2
PTGES2
TMEM9
SPINT2
COMMD4
PPAN-P2RY11
FKBP2
GRWD1
PMVK
ARHGDIA
DHRS7
CNPY3
C19orf70
DCXR
STXBP2
PUF60
C16orf42
LDB1
ARPC1B
PDHB
MAGED1
ADAM15
TMEM141
SPRYD3
EXOSC9
TMX1
SELS
SYVN1
GPR172A
MDH2
ISG20
ALYREF
COPE
TMED9
PHB2
SHKBP1
COX4I1
CDK5RAP3
CDK9
SSU72
C21orf59
MYL6
PPRC1
CCDC72
CASP2
CDK2AP2
SCAP
DRAP1
RRS1
PRMT7
HIST1H1C
C20orf11
AMDHD2
TXN2
PPM1G
NDUFA1
ATPIF1
UBE2D2
PMPCA
EIF3D
POP7
RRP9
PITPNA
RNPS1
ATP5G2
COX5A
NUP93
RBBP7
HDLBP
PDIA4
TFDP1
REEP4
MRPL17
RUVBL1
SLC1A4
MRTO4
RAN
PPIB
NME1-NME2
NHP2
U2AF1
CNN2
ABHD13
RUNDC1
RASSF5
GSPT1
HERPUD2
CLASP2
CD38
ZBED4
COG3
METAP1
SPIN1
FAM111A
FAM210A
HIATL1
MST4
NOTCH2
C12orf23
IER3IP1
USP42
OXSR1
DECR1
CETN2
TBC1D14
NLRP1
BCAT2
ABHD14B
MAP3K1
SAP130
CCDC149
MAN1A1
ADI1
LILRB4
CCDC90A
HDDC2
FUNDC2
TXNDC15
WRNIP1
FRMD8
CREBL2
WFS1
VPS26B
LRRC42
ARL2BP
SURF1
KHSRP
ZMIZ1
NF2
CRTC2
MECP2
TJP1
RAD54L2
STRN
GALT
MFSD5
AP1M1
CARM1
MED25
OSBPL8
IFNGR2
RHOQ
URGCP
USP28
RTF1
TRIM25
RNPEP
FAM96A
TMCC3
DIDO1
KDM3B
PHF17
AK3
ERCC3
EIF2D
KAT8
BRK1
PPA2
ZBTB1
GAS2
FCHSD2
ANKRD44
SERPINI1
ZNF592
PCYT2
CARS2
SETBP1
STARD5
NCOA5
GLDC
UROS
FBXO21
MDFIC
EDEM1
LRIG1
UNK
TTPAL
POLE4
IL6R
SNX18
CASC3
CDKN1B
GTPBP8
ZC3H7B
CAPN7
PDCD2
IMPDH2
C14orf1
NUDCD2
TATDN2
PRELID1
COQ9
GALNT10
WDR33
CMAS
PLXNA2
PRPSAP1
JAK1
LMBRD1
SMAP2
FAM162A
C16orf80
NEK7
SP3
ST3GAL6
CELF2
BRD8
POU2AF1
IFT57
ITPR2
GLCCI1
FHIT
SLC9A6
TADA1
KLHL5
INTS5
EIF2AK4
SLC25A36
DLG1
CASC4
CCDC53
MACC1
ARL5A
ATP11B
ABL2
WDR45L
NOTCH2NL
UBE2N
ARGLU1
PTP4A2
POGK
DCAF8
MAF
SNX19
UHMK1
ATPAF1
PPM1A
MEF2A
SPOP
FBXL5
TLR4
LANCL1
DDX3X
BTBD2
SAMD9
ARHGAP1
PPP4R1
TRPC4AP
SLC44A1
ZMYM6
TUBG1
ADNP
GLE1
FMR1
AKAP11
PTAR1
RB1
ECD
RNF145
SLC35F2
RAD50
MAGOHB
WDR75
PPAT
SLC25A46
DERL2
GMPPA
PPA1
ARMC10
SYCP3
HADH
VAV1
KIAA1430
STK17B
SF3B1
SEC11A
APPL1
TM7SF3
ABCB10
FANCG
MKI67
HEATR5B
ALCAM
POLR2D
DHX9
DDX6
ALG2
MCMBP
EDEM3
HMGB1
SSR3
PBRM1
GORASP2
POLE3
ST8SIA4
PSIP1
DYNLRB1
DR1
RIF1
DTL
XRCC5
PAICS
IPO5
CSE1L
RRM1
OXCT1
CENPE
PTMA
SS18
HNRNPA1
MESDC2
UBE2Q1
KRT10
ANXA5
DDX24
PSENEN
EIF4G2
RPN2
TFAM
TOMM40
MANF
DKC1
NOP16
SEC24C
AASDHPPT
TMED10
LCP1
EPS15
HMG20A
RPL35A
TFRC
POLR1E
KIAA1279
CLSTN1
NDUFC1
ALDH9A1
SF3B3
URI1
XPO5
SNRPA1
SERBP1
ANAPC13
SRSF4
DOCK8
IFNAR1
SRCAP
NASP
C8orf80
IQGAP2
ETS1
CPSF6
TMEM50A
TECR
CALM2
SMC1A
PDLIM1
COL4A4
MTR
SVIP
GPRIN3
G3BP2
PLXNC1
CPT1A
STAT1
NSMCE1
HMGB2
FAM208A
DNMT1
SRSF1
MCM3
SYNCRIP
UBIAD1
RFC2
UCK2
ANKRD10
SPCS3
MRS2
KPNB1
RPL39L
ACTG1
HMGN1
CREB3L2
HNRNPD
NUSAP1
MCM4
SUPT16H
TOP2A
UAP1
TSPAN7
PM20D2
GMPS
CORO1C
SLC25A5
NCAPG
HMGN3
SMC4
APEX1
EIF4G1
CDC6
ABHD12
FUS
MCM5
DCTPP1
RBBP4
SEC23B
TMEM214
YWHAQ
COPG
SHCBP1
MAGEA1
RRM2
TPM4
SET
NCL
IAH1
RLTPR
WAS
SAMHD1
FHL1
HNRPDL
CYFIP2
PKP2
RAC2
ATIC
CTSC
IVNS1ABP
TMPO
ATP1B3
DDX17
PCNA
ACTB
GMNN
CBX3
C6orf125
ITM2A
CFL1
KDELR2
ARPC2
ESYT2
TMEM19
CTSS
SUB1
CECR1
GPRC5D
SULF2
CD74
CTPS
MCM6
TIMM17A
UBE2C
YIF1A
DNAJB9
SMCR7L
KARS
ITGAE
GAR1
HNRNPF
NCAPH2
REEP3
SP100
CDV3
UBE3C
ALG3
NOLC1
LRRC59
SERP1
TRAM2
TM9SF1
UBQLN4
PFN1
MRPL42
DERL1
SELT
TUSC2
HBP1
BTBD3
XCR1
ZNF217
P2RY10
SCNN1G
FYTTD1
TP53RK
ZNF687
KIAA0930
PTK2B
LDHA
PAK1
QSOX2
MTMR10
RPL15
AKTIP
LY9
WDR11
PGAM1
FDFT1
ABCA1
CUL4B
NDNF
MYH10
RPUSD2
UGP2
CHAMP1
EML4
RAB36
COMMD3-BMI1
RAP2A
PFKFB2
GGA2
ARID1A
ZCCHC11
HERC5
BTBD1
EZH2
SMARCC1
PI4K2B
PSPC1
PLEKHA7
ARPC5
PCYOX1L
ITPR3
MRPL34
NUP210
AHCY
USP10
C1orf144
PAWR
CHRAC1
TBC1D9
PELP1
TXNDC16
CTDSP2
POLR3H
RUFY1
POLD1
TACC3
REEP5
SIN3A
PPP1R16B
METTL7A
FBXL12
PGRMC1
RNF103
MAPKAPK2
WDTC1
ABR
CCM2
TMX4
FBXL3
ZNFX1
PRKCD
SLC25A1
TFIP11
TEX264
SUV420H1
CCR10
PLXNB2
CAPN1
CSK
GBAS
ANKRD13A
PATL1
ZFP91
KDM1A
PCM1
SORT1
AKT2
PTPN18
LAGE3
HTATSF1
NME4
DTYMK
COX11
ATAD2
LMNB1
TRAPPC2L
TMEM39A
C2orf29
HADHB
DGKD
SLC35F5
FAM65A
ATG16L2
WDR91
TRAF4
TBC1D10B
WRB
ITGA3
DENND1C
CALCOCO1
CHCHD7
OST4
BCKDK
C14orf49
DUS3L
DPH1
ERCC1
GADD45GIP1
COBRA1
TAF6
AMFR
R3HDM4
LRRC33
PKN1
GYPC
C19orf52
PLEKHO1
FAM50A
RPL11
RPS10-NUDT3
RPS6KA1
CIB1
FBXW5
ADPRHL2
RRP36
USP19
POLR2I
NDUFS7
MRFAP1
TRPV2
SPSB3
GCDH
SNRNP70
TCF25
DAPK3
FASTK
RBM42
GUK1
C17orf89
AAMP
LAS1L
SRSF9
RPL8
RPS21
COX6A1
AURKAIP1
RPS19BP1
NOL7
GNB5
ACAP1
NEK6
MICAL1
ERGIC3
ACSL5
AGPAT6
RPA1
VEGFB
SURF2
RAF1
INPP4A
TMC6
TOR1A
MUL1
EXOC3
EIF2AK3
EIF4H
CTDNEP1
TMEM147
TAF10
HECTD3
TYMP
NOL12
SIN3B
CANT1
FAM174B
TYK2
ESRRA
VAMP2
MXD4
MYEOV
NR1H2
MRPL51
THAP7
OAZ2
GLTP
LGALS1
FAM100B
SPPL2B
C1orf35
TMUB1
GSDMD
CRB3
CHMP2A
TPST2
NDUFA2
LOC148413
PPIF
IRF3
PRPF31
LSMD1
MLF2
PLEC
H2AFJ
PIK3R2
FBXL15
SLC20A1
VASP
TSC22D4
NME3
UBXN6
TRIM47
MED16
R3HCC1
HAGH
MRPL28
GRN
ATP5H
C19orf24
RHOT2
SLC39A3
ARL6IP4
RAB24
ANAPC11
DCAF11
ADCK3
PYGB
ARSA
C16orf5
LSR
TMEM14A
PSD4
SRSF8
SCAMP5
CLSTN3
CRTAP
PIGS
WNT10A
LAMA5
EZR
CYTH1
SLC25A4
MRFAP1L1
DOT1L
ECE1
RGS14
TOR3A
TPI1
DPP7
SDF4
ENSA
TRIM65
C19orf63
GNB2
IRF5
ALDOC
RBM15B
BAP1
HDAC5
TLE3
OGFR
ADAM8
MESDC1
SLC16A3
EFHD2
EMILIN1
ECHS1
KLF13
C15orf39
FAM195A
CAV2
ST3GAL1
GLTPD1
RNF187
PBXIP1
ARHGEF2
WDR54
MRPL41
ARID5A
BLOC1S1
NDUFB7
INPPL1
GGA1
WDR6
ATXN1L
CERK
MAP2K7
TTC7A
ADO
JSRP1
TRIM28
PRKCSH
SLC4A2
KIAA1967
HMHA1
SLC9A3R1
RNH1
AGTRAP
MBD3
JTB
BMF
CCDC115
AKNA
ADD1
ERLIN2
ARF6
VOPP1
USP36
PLD3
GHDC
EHBP1L1
TCIRG1
PHF19
FLOT2
MARCKS
AKAP1
ST6GALNAC4
SRF
DEF6
ADIPOR1
UBL4A
TMED1
PNPLA2
BSG
C19orf79
ISOC1
TADA3
ARHGAP30
CUEDC2
PRADC1
MRPS34
ST14
TCF3
TAGLN2
RNASEH2C
GAS6
ADRBK1
MRPS24
ALKBH7
OS9
SUN2
VKORC1
ECI1
CHMP4B
DPM3
DCTN1
ARHGEF1
TRAPPC5
PSMB10
SCAND1
NDUFS8
C6orf108
PRDX2
C7orf59
ZBTB7A
HPS6
TRIOBP
UTP3
WIPI2
PPP1R35
HNRNPAB
ATP5D
UBTF
BCR
C19orf43
PHF23
RASA3
FAM100A
C11orf2
HDGFRP2
PTTG1IP
PTPN6
PCCB
GEMIN7
CADM1
TPX2
CENPN
LEMD2
CHAF1A
TELO2
IVD
TBC1D9B
SLC41A3
PDCD5
MYEOV2
MLLT1
IP6K1
JAKMIP1
LRWD1
SNRNP25
BLVRA
MAN1B1
BCL2L2-PABPN1
HNRNPA0
PGM1
CTCF
GOLPH3
MYO1C
TCF4
NUCKS1
UNG
DNAJC19
SUMO2
RAD1
CDK5RAP2
TCOF1
CCNB1
LETM1
ILKAP
RPL27
SCYL1
DNAJC9
WHSC1
RRP1
EIF3B
HDGF
PARP1
PUS1
DBI
DAZAP1
NOA1
RALY
RCC1
MCM7
ORAI2
CIRBP
CORO7-PAM16
H2AFZ
RRBP1
TRABD
PDXK
POLD2
STMN1
H2AFV
SCRIB
CHCHD1
PCNT
CD320
FBL
CHID1
HMG20B
NDUFV1
ARF3
SH2D3A
LIG1
PWP2
CTBP1
AKR1A1
QARS
VPS37B
ESYT1
SLC37A4
ACP6
FN3KRP
TRADD
SIVA1
PLEKHJ1
LSS
CSNK1E
PDXDC1
NAGLU
ACLY
NUBP2
MYBL2
SLC25A11
AFG3L2
SLC19A1
FAM173A
SH3GLB2
HNRNPL
PFKL
XBP1
ITGAL
VPS28
SREBF1
ARHGAP4
COMTD1
CLN6
P4HB
MZB1
SENP3
VPS25
SLC38A10
CYC1
SMARCB1
ATP2A3
SLC25A39
STUB1
COX8A
DUSP23
