GeneID,0h,1.5h,3h,6h,9h,12h
SCAND1,2.481268836,3.327042543,3.620088951,3.134156194,3.990558162,1.673221764
CCR10,2.471894864,3.074159759,2.216290196,2.745039736,2.176725314,1.973121357
NDUFS5,2.468402188,2.576996755,2.459502021,3.26128795,3.145425664,2.781594312
ZNHIT1,2.467636123,3.520325107,2.733621388,1.510398577,2.36827535,1.710203738
MRPS24,2.463297619,4.370876036,3.937228998,2.216696815,4.00154116,1.89548284
CETN2,2.458676174,2.307574313,3.337625269,2.578673691,1.684829424,5.254729342
PRKCSH,2.458480182,3.137966747,2.910578698,2.021671975,2.592517542,2.318199101
TPP1,2.456842829,2.215244315,2.344210509,1.399077703,1.658498191,2.438102581
TCEB1,2.456366112,2.463547134,2.339266624,2.307295819,2.023821958,1.548398747
SRP14,2.454954408,2.730593498,2.83856614,2.418811109,3.16889326,2.500667119
ALOX5AP,2.442813749,1.599228207,1.439614676,1.688782837,2.025380051,3.609117214
MRPL20,2.438377645,2.647167769,3.364937194,2.346021177,2.211066854,1.769812168
TRAPPC2L,2.436229344,2.602006047,2.523125501,2.98399224,2.385846425,4.541404807
PSMB10,2.432592769,3.078297479,3.248260419,2.659065338,3.460531666,1.912195978
NDUFA8,2.430502035,2.48082214,2.618792406,2.888662068,2.943372639,2.17682262
MRPL50,2.4296258,1.400478998,1.416070673,2.215460152,2.572780065,1.788971904
MRPL24,2.429328828,2.407158182,3.347453857,2.556356295,3.327437971,2.157076624
MRPL52,2.428666178,2.67602172,1.933652377,2.957530964,2.878546473,2.31482122
RPL38,2.419305814,2.128623368,2.332530833,2.217138127,2.14449289,1.212322162
THAP1,2.414131004,4.298294845,1.628761131,1.440965741,1.668424073,2.815461458
CHCHD2,2.413679188,3.257635364,3.098592485,2.453415102,3.24926814,2.188922147
SF3B14,2.412468236,1.707827748,1.597383947,3.055237725,3.20210402,2.354692862
COX4I1,2.404284665,2.413453609,2.975510616,2.137619064,2.934447278,1.42097996
HBXIP,2.40239955,2.204811852,3.132650575,2.482422642,3.316250319,3.716409124
CFL1,2.394893173,2.109170696,2.309527341,2.792801417,3.434364964,2.322695742
RBX1,2.393711964,1.844049248,2.552880922,2.552630409,3.131541964,2.209895918
NDUFS7,2.389289036,3.515709854,3.085227361,2.376026809,3.201271398,1.132379294
MYEOV2,2.382610735,4.966349734,3.98516407,1.794412203,1.843753779,2.320390715
SSBP1,2.382007778,1.811723714,2.059367135,3.03166219,2.878546471,2.075191335
ZNF296,2.378277572,1.989021732,1.978918247,1.271810864,1.250018659,0.85206383
GSTP1,2.376425309,2.621174585,3.164331483,3.135654597,4.312097909,2.1541545
PSMC4,2.364294735,3.150688207,2.584933523,1.940430283,2.770997459,1.631025948
C12orf62,2.363448561,2.330048184,2.608988194,2.511349303,2.019764169,1.198095414
BANF1,2.347362246,3.927019274,3.864235783,2.406679213,2.975081441,2.280330501
DDRGK1,2.345558869,5.251512018,3.257522261,2.058377775,2.766346332,1.922051246
NDUFB1,2.342208805,1.689194746,2.767637808,3.528890674,2.904845485,2.12787828
COMMD4,2.337626732,3.51998574,3.751922789,3.169486441,4.438726856,0.973211177
MRPL41,2.33245464,3.11392382,3.179962208,2.621184353,3.437537021,2.590703768
